km_driven,owner_no,model_year,price,registration_year,mileage,engine,max_power,torque,seats,price_log,fuel_type_Diesel,fuel_type_Electric,fuel_type_Lpg,fuel_type_Petrol,body_type_Convertibles,body_type_Coupe,body_type_Hatchback,body_type_Hybrids,body_type_MUV,body_type_Minivans,body_type_Pickup Trucks,body_type_SUV,body_type_Sedan,body_type_Wagon,transmission_Manual,brand_BMW,brand_Chevrolet,brand_Citroen,brand_Datsun,brand_Fiat,brand_Ford,brand_Hindustan Motors,brand_Honda,brand_Hyundai,brand_Isuzu,brand_Jaguar,brand_Jeep,brand_Kia,brand_Land Rover,brand_Lexus,brand_MG,brand_Mahindra,brand_Mahindra Renault,brand_Mahindra Ssangyong,brand_Maruti,brand_Mercedes-Benz,brand_Mini,brand_Mitsubishi,brand_Nissan,brand_Opel,brand_Porsche,brand_Renault,brand_Skoda,brand_Tata,brand_Toyota,brand_Volkswagen,brand_Volvo,insurance_validity_2,insurance_validity_Comprehensive,insurance_validity_Not Available,insurance_validity_Third Party,insurance_validity_Third Party insurance,insurance_validity_Zero Dep,ownership_overview_First Owner,ownership_overview_Fourth Owner,ownership_overview_Second Owner,ownership_overview_Third Owner,city_Chennai,city_Delhi,city_Hyderabad,city_Jaipur,city_Kolkata
120000,3,2015,400000,2015.0,23.1,998.0,67.04,90.0,5.0,12.899222326086994,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
32706,2,2018,811000,2018.0,17.0,1497.0,121.31,150.0,5.0,13.606024566142413,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
11949,1,2018,585000,2018.0,23.84,1199.0,84.0,114.0,5.0,13.279368835614243,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
17794,1,2014,462000,2014.0,19.1,1197.0,81.86,113.75,5.0,13.043322334563697,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
60000,1,2015,790000,2015.0,23.65,1248.0,88.5,200.0,5.0,13.579789490265188,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
20000,1,2020,1900000,2020.0,17.1,1956.0,170.0,350.0,5.0,14.45736497045232,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
37772,1,2017,345000,2017.0,20.63,1198.0,67.0,104.0,5.0,12.75130259456002,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
30000,1,2021,1200000,2021.0,18.15,998.0,118.35,171.6,5.0,13.997832948091215,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
37000,1,2018,960000,2018.0,20.28,1462.0,103.25,138.0,5.0,13.774689605110144,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
11949,1,2017,585000,2018.0,23.84,1199.0,84.0,114.0,5.0,13.279368835614243,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
